-0.051300,0.104248,-0.190918
-0.050903,0.104248,-0.190918
-0.050598,0.104492,-0.191406
-0.050384,0.104919,-0.192139
-0.050079,0.105225,-0.192749
-0.049805,0.105469,-0.193237
-0.049500,0.105774,-0.193726
-0.049286,0.106140,-0.194458
-0.048981,0.106445,-0.194946
-0.048675,0.106689,-0.195435
-0.048431,0.107117,-0.196167
-0.048126,0.107422,-0.196655
-0.047821,0.107666,-0.197266
-0.047516,0.107971,-0.197754
-0.047180,0.108215,-0.198242
-0.046936,0.108643,-0.198975
-0.046600,0.108887,-0.199463
-0.046356,0.109314,-0.200195
-0.046020,0.109619,-0.200684
-0.045746,0.109985,-0.201416
-0.045441,0.110291,-0.202026
-0.045105,0.110535,-0.202515
-0.044769,0.110840,-0.203003
-0.044495,0.111206,-0.203735
-0.044159,0.111511,-0.204224
-0.043823,0.111755,-0.204712
-0.043518,0.112183,-0.205444
-0.043182,0.112488,-0.206055
-0.042847,0.112732,-0.206543
-0.042480,0.113037,-0.207031
-0.042145,0.113281,-0.207520
-0.041840,0.113708,-0.208252
-0.041473,0.113953,-0.208740
-0.041168,0.114380,-0.209473
-0.040802,0.114685,-0.209961
-0.040436,0.114929,-0.210571
-0.040070,0.115234,-0.211060
-0.039764,0.115601,-0.211792
-0.039398,0.115906,-0.212280
-0.039002,0.116150,-0.212769
-0.038696,0.116577,-0.213501
-0.038300,0.116882,-0.213989
-0.037933,0.117126,-0.214478
-0.037598,0.117554,-0.215332
-0.037201,0.117798,-0.215820
-0.036804,0.118103,-0.216309
-0.036438,0.118347,-0.216797
-0.036041,0.118652,-0.217285
-0.035645,0.118896,-0.217773
-0.035248,0.119202,-0.218262
-0.034851,0.119446,-0.218750
-0.034424,0.119568,-0.218994
-0.033997,0.119873,-0.219604
-0.033600,0.120117,-0.220093
-0.033203,0.120422,-0.220581
-0.032745,0.120544,-0.220825
-0.032318,0.120667,-0.221069
-0.031860,0.120850,-0.221313
-0.031433,0.121094,-0.221802
-0.031006,0.121216,-0.222046
-0.030548,0.121399,-0.222290
-0.030090,0.121521,-0.222534
-0.029678,0.121765,-0.223022
-0.029221,0.121948,-0.223267
